feature,importance_gain
OverallQual,1.8046315908432007
TotalSF,0.8776353001594543
CentralAir,0.6323860287666321
ExterQual,0.539204535423778
GarageYrBlt,0.4134346637438284
GarageCars,0.3531198799610138
Neighborhood,0.2232688041694928
GarageAge,0.21721438432905416
Functional,0.1941068065352738
KitchenQual,0.18467329256236553
TotalBath,0.16062390804290771
GarageScore,0.14659161865711212
KitchenAbvGr,0.14141926169395447
GarageFinish,0.13649238692596555
HasFireplace,0.12880611419677734
GrLivArea,0.11011481285095215
Exterior2nd,0.10353434571879916
FullBath,0.09819147735834122
Exterior1st,0.09714825139963068
GarageCond,0.08534714207053185
GarageType,0.0841668036300689
OverallCond,0.07141882926225662
Fireplaces,0.06742475926876068
Condition1,0.05957574490457773
SaleCondition,0.05815108213573694
RemodAge,0.05096322298049927
HouseAge,0.05083822086453438
MSZoning,0.04909762577153742
YearBuilt,0.04367905110120773
PavedDrive,0.041327421087771654
BsmtQual,0.03763809095835313
BsmtFinSF,0.03741385042667389
LotShape,0.03475933143636212
GarageArea,0.03417212516069412
YearRemodAdd,0.03269970417022705
TotalBsmtSF,0.03174010291695595
HouseStyle,0.03140161401825026
SaleType,0.030472800543066114
1stFlrSF,0.029642246663570404
HasPool,0.028626656159758568
2ndFlrSF,0.02830992266535759
ExterCond,0.026922050019493327
GarageQual,0.025788744329474866
RoomsPlusBathEq,0.02577476017177105
FireplaceQu,0.024461033288389444
BsmtFinType2,0.023864678922109306
LotArea,0.02363595739006996
Fence,0.02354992466280237
BsmtFinSF1,0.02332218363881111
Foundation,0.02286851208191365
BsmtFinType1,0.022560759214684367
BsmtExposure,0.02232946187723428
BsmtHalfBath,0.01716127060353756
PoolArea,0.015758832916617393
MSSubClass,0.015003226697444916
HalfBath,0.014714952558279037
ScreenPorch,0.01400977186858654
BldgType,0.013621557096485049
HeatingQC,0.01260582241229713
RoofStyle,0.012587264005560428
TotalPorchSF,0.01131684985011816
BsmtCond,0.011048534681322053
SeasonSold,0.010839247843250632
BsmtUnfSF,0.010810271836817265
EnclosedPorch,0.01032289769500494
LotFrontage,0.010320264846086502
OpenPorchSF,0.010294287465512753
LandContour,0.010236828355118632
Electrical,0.009917952556861565
LotConfig,0.009331565350294113
BedroomAbvGr,0.009087858721613884
LotAreaPerRoom,0.008831695653498173
BsmtFullBath,0.008748927153646946
TotRmsAbvGrd,0.006874838378280401
AgeAtRemodel,0.006043302360922098
BsmtFinSF2,0.006035377737134695
LotFrontageRatio,0.005866870284080505
WoodDeckSF,0.005731644108891487
MoSold,0.005345115903764963
Has2ndFlr,0.004800597205758095
HasFence,0.004232078790664673
YrSold,0.004185479134321213
HasBsmt,0.00413417536765337
MasVnrArea,0.0035278003197163343
Remodeled,0.0023009241558611393
3SsnPorch,0.002220421563833952
HasGarage,0.0
