feature,perm_importance_rmse_drop
TotalSF,0.18266721297933206
OverallQual,0.15002114504166408
OverallCond,0.042709561734207285
GrLivArea,0.036440067381607766
Neighborhood,0.032272379761783515
TotalBath,0.03085337751850374
LotArea,0.029073201008460645
CentralAir,0.02754766949498847
YearBuilt,0.025638969534503606
RemodAge,0.023072038810362364
YearRemodAdd,0.022688944191323952
1stFlrSF,0.022299361881527972
HouseAge,0.020409107419603608
GarageArea,0.020286906473823856
GarageScore,0.019189144013349455
BsmtFinSF1,0.018679846350411783
SaleCondition,0.016928721805213952
TotalPorchSF,0.01667470468324999
GarageCars,0.01655563080262698
2ndFlrSF,0.015640410882590144
Fireplaces,0.015528234708366938
BsmtUnfSF,0.01551291889945177
GarageYrBlt,0.01293883831635601
MSZoning,0.012037270269468013
TotalBsmtSF,0.01100974005096436
KitchenQual,0.010951342298415472
BsmtFinSF,0.010761216777938464
LotFrontage,0.01075080861061865
ExterQual,0.0106654128157673
LotAreaPerRoom,0.010522435444883006
Functional,0.010133754786620427
LotFrontageRatio,0.009332695332424243
RoomsPlusBathEq,0.009212604225503223
GarageAge,0.008552326310769593
OpenPorchSF,0.008196079995503348
GarageFinish,0.007824986479539046
BsmtExposure,0.007789793683675675
Exterior1st,0.007507254766230324
ScreenPorch,0.007416843395164541
Condition1,0.007263857386494023
MoSold,0.006714172425679503
LotShape,0.005628823432472469
BsmtQual,0.005338417445438951
MasVnrArea,0.0047194267828102225
KitchenAbvGr,0.0045502762793698534
WoodDeckSF,0.004363777134470004
BsmtFinType1,0.004293564436512484
LotConfig,0.004256387720906141
AgeAtRemodel,0.004172252844178719
MSSubClass,0.004073738477313302
SaleType,0.0039480383972188785
YrSold,0.003910548569098952
GarageType,0.003711875700306366
FullBath,0.003306991271269974
EnclosedPorch,0.0032748879654943873
FireplaceQu,0.002867069990046883
PavedDrive,0.00279294298280839
HouseStyle,0.002730709324874854
Foundation,0.0024323208315298853
ExterCond,0.0021208061544993034
SeasonSold,0.002034235018573313
LandContour,0.0019189011212246572
BsmtFinType2,0.0019077459181799307
PoolArea,0.0018871905886058919
HasFireplace,0.0018396143697293067
Exterior2nd,0.0018070180821661865
Fence,0.00180068113925025
BedroomAbvGr,0.0017187468091609081
RoofStyle,0.0016330471369968747
HeatingQC,0.0016257629754433082
TotRmsAbvGrd,0.0013505746392513925
Electrical,0.0012923776977803265
BsmtFullBath,0.001204149541723695
BsmtCond,0.0009853942886241768
BldgType,0.0008208758551398195
HalfBath,0.0007477843571962006
BsmtFinSF2,0.000608668839622662
GarageQual,0.0005356836286698969
BsmtHalfBath,0.00045681567312924663
GarageCond,0.00027010001422084304
HasFence,0.00024639311840959856
Remodeled,0.00014735399241814324
Has2ndFlr,0.00010597653749318871
3SsnPorch,3.986146055124832e-05
HasPool,7.624380435433448e-06
HasBsmt,3.653579426550089e-06
HasGarage,0.0
