feature_trans,importance_gain
remainder__OverallQual,1.8046315908432007
remainder__TotalSF,0.8776353001594543
cat__CentralAir_Y,0.6323860287666321
cat__ExterQual_TA,0.5342639684677124
remainder__GarageCars,0.3531198799610138
cat__KitchenQual_TA,0.1614212542772293
remainder__TotalBath,0.16062390804290771
remainder__GarageScore,0.14659161865711212
remainder__KitchenAbvGr,0.14141926169395447
cat__GarageFinish_Unf,0.13243626058101654
remainder__HasFireplace,0.12880611419677734
remainder__GrLivArea,0.11011481285095215
remainder__FullBath,0.09819147735834122
cat__Functional_Sev,0.09352200478315353
cat__GarageYrBlt_1920.0,0.08091273158788681
remainder__OverallCond,0.07141882926225662
remainder__Fireplaces,0.06742475926876068
cat__Exterior2nd_Brk Cmn,0.06494714319705963
cat__GarageYrBlt_1977.0,0.05255628004670143
remainder__RemodAge,0.05096322298049927
remainder__HouseAge,0.05083822086453438
cat__GarageCond_Po,0.05077514052391052
cat__GarageType_Detchd,0.050242628902196884
cat__Functional_Typ,0.04648258164525032
remainder__YearBuilt,0.04367905110120773
cat__Neighborhood_Edwards,0.04191114380955696
cat__PavedDrive_Y,0.038871880620718
remainder__BsmtFinSF,0.03741385042667389
cat__MSZoning_RM,0.03700115904211998
cat__Exterior1st_BrkComm,0.03583809360861778
remainder__GarageArea,0.03417212516069412
cat__Functional_Min1,0.033244941383600235
cat__Neighborhood_Crawfor,0.03306487202644348
remainder__YearRemodAdd,0.03269970417022705
cat__GarageYrBlt_1918.0,0.03262758255004883
remainder__TotalBsmtSF,0.03174010291695595
cat__SaleCondition_Normal,0.030094601213932037
remainder__1stFlrSF,0.029642246663570404
cat__GarageAge_93.0,0.029076337814331055
remainder__HasPool,0.028626656159758568
cat__LotShape_IR3,0.02832665853202343
remainder__2ndFlrSF,0.02830992266535759
cat__GarageYrBlt_1990.0,0.027946949005126953
remainder__RoomsPlusBathEq,0.02577476017177105
cat__GarageYrBlt_1965.0,0.025537317618727684
remainder__LotArea,0.02363595739006996
remainder__BsmtFinSF1,0.02332218363881111
cat__BsmtQual_Gd,0.023283718153834343
cat__Neighborhood_OldTown,0.022901592776179314
cat__GarageCond_TA,0.022087201476097107
cat__Neighborhood_IDOTRR,0.02188808098435402
cat__Exterior1st_BrkFace,0.01960039511322975
cat__GarageQual_TA,0.017601434141397476
remainder__BsmtHalfBath,0.01716127060353756
cat__Fence_GdWo,0.01707884483039379
cat__Condition1_PosA,0.016589103266596794
cat__Neighborhood_ClearCr,0.015894189476966858
remainder__PoolArea,0.015758832916617393
remainder__MSSubClass,0.015003226697444916
remainder__HalfBath,0.014714952558279037
cat__GarageAge_32.0,0.014709189534187317
cat__SaleCondition_Partial,0.014326094649732113
cat__SaleType_New,0.01427160669118166
remainder__ScreenPorch,0.01400977186858654
cat__Condition1_RRAe,0.013720367103815079
cat__GarageAge_68.0,0.013577300123870373
cat__Neighborhood_Mitchel,0.01353742741048336
cat__ExterCond_Fa,0.013506460003554821
cat__BsmtQual_TA,0.01338530145585537
cat__SaleCondition_Family,0.01327807642519474
cat__Neighborhood_MeadowV,0.01315235160291195
cat__FireplaceQu_Po,0.013111007399857044
cat__Exterior1st_WdShing,0.013085506856441498
cat__KitchenQual_Fa,0.013081640005111694
cat__GarageYrBlt_1970.0,0.013067429885268211
cat__BsmtFinType2_BLQ,0.012983361259102821
cat__GarageYrBlt_2005.0,0.012666783295571804
cat__GarageAge_44.0,0.012567885220050812
cat__GarageCond_Fa,0.012484800070524216
cat__GarageType_CarPort,0.012290502898395061
cat__GarageAge_40.0,0.012131649069488049
remainder__TotalPorchSF,0.01131684985011816
cat__BsmtExposure_Gd,0.011214702390134335
cat__ExterCond_TA,0.011117207817733288
cat__GarageYrBlt_2009.0,0.011079133488237858
cat__Foundation_PConc,0.010989394038915634
remainder__BsmtUnfSF,0.010810271836817265
cat__HouseStyle_2.5Unf,0.010403238236904144
remainder__EnclosedPorch,0.01032289769500494
remainder__LotFrontage,0.010320264846086502
cat__GarageType_Attchd,0.010305143892765045
remainder__OpenPorchSF,0.010294287465512753
cat__KitchenQual_Gd,0.010170398280024529
cat__BsmtExposure_No,0.009688097052276134
cat__Neighborhood_StoneBr,0.009460043162107468
remainder__BedroomAbvGr,0.009087858721613884
cat__Condition1_Norm,0.008907688781619072
remainder__LotAreaPerRoom,0.008831695653498173
remainder__BsmtFullBath,0.008748927153646946
cat__Neighborhood_Somerst,0.008580869063735008
cat__Functional_Mod,0.008575918152928352
cat__BldgType_Duplex,0.008479227311909199
cat__BsmtFinType1_Unf,0.008458749391138554
cat__Neighborhood_SWISU,0.0084138298407197
cat__SaleType_WD,0.00841354951262474
cat__HouseStyle_SLvl,0.008311236277222633
cat__Condition1_PosN,0.008293140679597855
cat__GarageType_Basment,0.007864984683692455
cat__GarageQual_Fa,0.007846315391361713
cat__Exterior2nd_Wd Shng,0.0075631714425981045
cat__BsmtCond_TA,0.007299183402210474
cat__GarageAge_87.0,0.007035218179225922
cat__RoofStyle_Hip,0.007018459029495716
remainder__TotRmsAbvGrd,0.006874838378280401
cat__Exterior2nd_Stone,0.006702870596200228
cat__Condition1_RRAn,0.006699155084788799
cat__Functional_Min2,0.00662174541503191
cat__Neighborhood_BrkSide,0.006534706335514784
cat__Electrical_FuseF,0.00634224945679307
cat__Neighborhood_NAmes,0.006341529544442892
cat__BsmtFinType1_GLQ,0.006315535865724087
cat__HeatingQC_TA,0.006199931725859642
cat__Fence_MnPrv,0.00617159903049469
remainder__AgeAtRemodel,0.006043302360922098
remainder__BsmtFinSF2,0.006035377737134695
cat__Exterior2nd_MetalSd,0.006035342812538147
cat__GarageYrBlt_1955.0,0.0058974213898181915
remainder__LotFrontageRatio,0.005866870284080505
cat__GarageYrBlt_1957.0,0.00585344061255455
