feature,importance
remainder__OverallQual,0.22130743
remainder__TotalSF,0.10762707
cat__CentralAir_Y,0.07755141
cat__ExterQual_TA,0.06551841
remainder__GarageCars,0.04330416
cat__KitchenQual_TA,0.019795576
remainder__TotalBath,0.019697795
remainder__GarageScore,0.017976973
remainder__KitchenAbvGr,0.017342672
cat__GarageFinish_Unf,0.016241059
remainder__HasFireplace,0.015795883
remainder__GrLivArea,0.013503713
remainder__FullBath,0.012041518
cat__Functional_Sev,0.011468886
cat__GarageYrBlt_1920.0,0.009922573
remainder__OverallCond,0.008758307
remainder__Fireplaces,0.008268503
cat__Exterior2nd_Brk Cmn,0.007964664
cat__GarageYrBlt_1977.0,0.006445136
remainder__RemodAge,0.006249774
remainder__HouseAge,0.006234445
cat__GarageCond_Po,0.006226709
cat__GarageType_Detchd,0.006161406
cat__Functional_Typ,0.0057003
remainder__YearBuilt,0.005356494
cat__Neighborhood_Edwards,0.00513969
cat__PavedDrive_Y,0.004766977
remainder__BsmtFinSF,0.004588174
cat__MSZoning_RM,0.004537564
cat__Exterior1st_BrkComm,0.004394934
remainder__GarageArea,0.004190631
cat__Functional_Min1,0.004076928
cat__Neighborhood_Crawfor,0.004054845
remainder__YearRemodAdd,0.004010064
cat__GarageYrBlt_1918.0,0.004001219
remainder__TotalBsmtSF,0.003892385
cat__SaleCondition_Normal,0.003690592
remainder__1stFlrSF,0.003635118
cat__GarageAge_93.0,0.003565719
remainder__HasPool,0.003510573
cat__LotShape_IR3,0.003473784
remainder__2ndFlrSF,0.003471731
cat__GarageYrBlt_1990.0,0.003427219
remainder__RoomsPlusBathEq,0.003160837
cat__GarageYrBlt_1965.0,0.003131718
remainder__LotArea,0.002898549
remainder__BsmtFinSF1,0.00286007
cat__BsmtQual_Gd,0.002855353
cat__Neighborhood_OldTown,0.002808492
cat__GarageCond_TA,0.00270862
cat__Neighborhood_IDOTRR,0.002684202
cat__Exterior1st_BrkFace,0.002403656
cat__GarageQual_TA,0.002158517
remainder__BsmtHalfBath,0.002104539
cat__Fence_GdWo,0.00209443
cat__Condition1_PosA,0.002034372
cat__Neighborhood_ClearCr,0.001949153
remainder__PoolArea,0.001932553
remainder__MSSubClass,0.001839891
remainder__HalfBath,0.001804539
cat__GarageAge_32.0,0.001803832
cat__SaleCondition_Partial,0.001756852
cat__SaleType_New,0.00175017
remainder__ScreenPorch,0.001718061
cat__Condition1_RRAe,0.00168257
cat__GarageAge_68.0,0.001665025
cat__Neighborhood_Mitchel,0.001660136
cat__ExterCond_Fa,0.001656338
cat__BsmtQual_TA,0.00164148
cat__SaleCondition_Family,0.001628331
cat__Neighborhood_MeadowV,0.001612913
cat__FireplaceQu_Po,0.001607843
cat__Exterior1st_WdShing,0.001604715
cat__KitchenQual_Fa,0.001604241
cat__GarageYrBlt_1970.0,0.001602499
cat__BsmtFinType2_BLQ,0.001592189
cat__GarageYrBlt_2005.0,0.001553366
cat__GarageAge_44.0,0.001541238
cat__GarageCond_Fa,0.001531049
cat__GarageType_CarPort,0.001507222
cat__GarageAge_40.0,0.001487741
remainder__TotalPorchSF,0.00138782
cat__BsmtExposure_Gd,0.001375293
cat__ExterCond_TA,0.001363337
cat__GarageYrBlt_2009.0,0.001358668
cat__Foundation_PConc,0.001347663
remainder__BsmtUnfSF,0.001325696
cat__HouseStyle_2.5Unf,0.001275781
remainder__EnclosedPorch,0.001265928
remainder__LotFrontage,0.001265605
cat__GarageType_Attchd,0.001263751
remainder__OpenPorchSF,0.00126242
cat__KitchenQual_Gd,0.001247227
cat__BsmtExposure_No,0.001188081
cat__Neighborhood_StoneBr,0.001160114
remainder__BedroomAbvGr,0.001114472
cat__Condition1_Norm,0.001092377
remainder__LotAreaPerRoom,0.001083058
remainder__BsmtFullBath,0.001072907
cat__Neighborhood_Somerst,0.001052298
cat__Functional_Mod,0.001051691
cat__BldgType_Duplex,0.001039833
cat__BsmtFinType1_Unf,0.001037322
cat__Neighborhood_SWISU,0.001031813
cat__SaleType_WD,0.001031779
cat__HouseStyle_SLvl,0.001019232
cat__Condition1_PosN,0.001017013
cat__GarageType_Basment,0.000964507
cat__GarageQual_Fa,0.000962217
cat__Exterior2nd_Wd Shng,0.000927495
cat__BsmtCond_TA,0.000895121
cat__GarageAge_87.0,0.00086275
cat__RoofStyle_Hip,0.000860695
remainder__TotRmsAbvGrd,0.000843082
cat__Exterior2nd_Stone,0.000821993
cat__Condition1_RRAn,0.000821538
cat__Functional_Min2,0.000812045
cat__Neighborhood_BrkSide,0.000801371
cat__Electrical_FuseF,0.000777769
cat__Neighborhood_NAmes,0.000777681
cat__BsmtFinType1_GLQ,0.000774493
cat__HeatingQC_TA,0.000760316
cat__Fence_MnPrv,0.000756842
remainder__AgeAtRemodel,0.000741108
remainder__BsmtFinSF2,0.000740137
cat__Exterior2nd_MetalSd,0.000740132
cat__GarageYrBlt_1955.0,0.000723219
remainder__LotFrontageRatio,0.000719472
cat__GarageYrBlt_1957.0,0.000717825
cat__GarageAge_10.0,0.00071552
cat__GarageAge_20.0,0.000711207
cat__BsmtFinType2_Unf,0.000709604
remainder__WoodDeckSF,0.000702889
cat__LotShape_Reg,0.000701552
cat__GarageYrBlt_2008.0,0.000698605
cat__GarageYrBlt_1958.0,0.000694986
cat__Functional_Maj2,0.000694056
cat__Exterior1st_MetalSd,0.000673502
cat__GarageYrBlt_1998.0,0.000662361
cat__GarageAge_54.0,0.000661652
cat__GarageYrBlt_1925.0,0.000659662
cat__GarageAge_62.0,0.000657585
remainder__MoSold,0.000655488
cat__MSZoning_RL,0.000641202
cat__FireplaceQu_Gd,0.000640749
cat__Exterior2nd_Plywood,0.000640247
cat__GarageYrBlt_1997.0,0.000627993
cat__SaleType_ConLI,0.000617032
cat__GarageYrBlt_1976.0,0.000608114
remainder__Has2ndFlr,0.000588712
cat__GarageAge_49.0,0.000579638
cat__MSZoning_FV,0.000566888
cat__Foundation_CBlock,0.000565155
cat__HouseStyle_1Story,0.000560886
cat__GarageAge_1.0,0.000557019
cat__GarageYrBlt_1936.0,0.000556922
cat__Neighborhood_NWAmes,0.000526996
cat__Exterior1st_ImStucc,0.00052146
remainder__HasFence,0.000518993
cat__Exterior1st_Stucco,0.000516451
cat__GarageYrBlt_1941.0,0.000516302
remainder__YrSold,0.000513278
cat__Exterior1st_Plywood,0.000510504
cat__LandContour_Lvl,0.000507355
remainder__HasBsmt,0.000506986
cat__GarageAge_3.0,0.000506191
cat__GarageYrBlt_1922.0,0.000503723
cat__GarageAge_41.0,0.000503128
cat__GarageAge_69.0,0.000500614
cat__HeatingQC_Gd,0.000499164
cat__GarageYrBlt_1940.0,0.000499135
cat__GarageYrBlt_1948.0,0.000497508
cat__GarageFinish_RFn,0.000497415
cat__GarageYrBlt_2007.0,0.000495576
cat__ExterQual_Gd,0.000492738
cat__SeasonSold_Primavera,0.000491435
cat__GarageYrBlt_1987.0,0.000483859
cat__GarageAge_35.0,0.000482024
cat__Exterior2nd_Wd Sdng,0.000478588
cat__GarageYrBlt_1969.0,0.000461642
cat__Neighborhood_Sawyer,0.000460894
cat__GarageAge_60.0,0.000454919
cat__FireplaceQu_TA,0.000450553
cat__BsmtFinType1_Rec,0.000449856
cat__BsmtCond_Gd,0.000449719
cat__LandContour_HLS,0.000447481
cat__GarageAge_2.0,0.000446937
cat__SeasonSold_Otoño,0.000446261
cat__Exterior2nd_Stucco,0.00044469
cat__GarageAge_19.0,0.000439117
remainder__MasVnrArea,0.000432625
cat__GarageAge_53.0,0.000426077
cat__GarageType_BuiltIn,0.000424745
cat__GarageYrBlt_1939.0,0.000415489
cat__Foundation_Wood,0.000414767
cat__GarageYrBlt_1972.0,0.000410096
cat__GarageAge_66.0,0.000407363
cat__Neighborhood_Gilbert,0.000400808
cat__GarageAge_15.0,0.000398471
cat__HouseStyle_2Story,0.000392632
cat__GarageAge_34.0,0.000392613
cat__Electrical_SBrkr,0.000392251
cat__SeasonSold_Verano,0.000391554
cat__GarageYrBlt_1979.0,0.000378419
cat__BldgType_2fmCon,0.000377226
cat__LotConfig_CulDSac,0.000376468
cat__GarageYrBlt_1973.0,0.000374723
cat__Exterior1st_Wd Sdng,0.000374219
cat__GarageAge_16.0,0.000370053
cat__GarageYrBlt_1971.0,0.000369608
cat__Exterior1st_VinylSd,0.000365815
cat__GarageYrBlt_1947.0,0.000353035
cat__GarageAge_27.0,0.000351804
cat__GarageAge_88.0,0.000345421
cat__Foundation_Slab,0.000338247
cat__BsmtFinType1_LwQ,0.000337657
cat__LotConfig_FR2,0.000333527
cat__Condition1_Feedr,0.000329644
cat__Condition1_RRNn,0.00032844
cat__GarageYrBlt_1999.0,0.000324684
cat__GarageYrBlt_1968.0,0.00031772
cat__RoofStyle_Gambrel,0.000315606
cat__HouseStyle_1.5Unf,0.000304561
cat__GarageAge_37.0,0.000303167
cat__PavedDrive_P,0.00030113
cat__FireplaceQu_Fa,0.000300586
cat__LandContour_Low,0.000300537
cat__BsmtFinType2_Rec,0.00029719
cat__GarageYrBlt_1952.0,0.000289302
cat__HeatingQC_Fa,0.00028641
cat__GarageAge_58.0,0.000283345
remainder__Remodeled,0.000282169
cat__GarageYrBlt_1966.0,0.000276948
cat__MSZoning_RH,0.000275337
cat__GarageAge_47.0,0.000273593
remainder__3SsnPorch,0.000272297
cat__Neighborhood_SawyerW,0.000269979
cat__GarageYrBlt_1967.0,0.000266519
cat__Neighborhood_Timber,0.000264691
cat__GarageAge_12.0,0.000262182
cat__Neighborhood_CollgCr,0.000257219
cat__Exterior2nd_HdBoard,0.000254258
cat__GarageYrBlt_1974.0,0.000253285
cat__RoofStyle_Gable,0.000252707
cat__GarageYrBlt_1995.0,0.000252365
cat__GarageAge_52.0,0.000248795
cat__GarageYrBlt_1993.0,0.000244842
cat__GarageYrBlt_1928.0,0.000244662
cat__Exterior1st_HdBoard,0.000243018
cat__ExterCond_Gd,0.000241823
cat__GarageAge_31.0,0.000241785
cat__GarageYrBlt_1964.0,0.000239671
cat__GarageYrBlt_1963.0,0.00023652
cat__GarageYrBlt_2000.0,0.000231507
cat__GarageAge_6.0,0.000230153
cat__LotConfig_FR3,0.000226496
cat__GarageYrBlt_1923.0,0.000223712
cat__GarageAge_38.0,0.000221786
cat__SaleType_Oth,0.000221204
cat__GarageYrBlt_2003.0,0.000217337
cat__Exterior2nd_VinylSd,0.000216038
cat__GarageYrBlt_1921.0,0.000215891
cat__GarageYrBlt_1938.0,0.000210244
cat__LotConfig_Inside,0.000207867
cat__BsmtFinType2_LwQ,0.000205731
cat__GarageYrBlt_1962.0,0.000202513
cat__GarageYrBlt_1988.0,0.000202127
cat__GarageAge_5.0,0.000201828
cat__GarageYrBlt_1954.0,0.000199517
cat__GarageAge_26.0,0.000195983
cat__GarageAge_4.0,0.000195883
cat__GarageYrBlt_2006.0,0.000193328
cat__GarageYrBlt_2004.0,0.000190253
cat__HouseStyle_SFoyer,0.000180447
cat__GarageAge_30.0,0.000178442
cat__GarageYrBlt_1950.0,0.000177205
cat__GarageAge_57.0,0.000175332
cat__BsmtExposure_Mn,0.000174956
cat__GarageYrBlt_2002.0,0.00017192
cat__GarageAge_50.0,0.000171407
cat__BsmtFinType1_BLQ,0.000167366
cat__GarageAge_29.0,0.000167054
cat__GarageYrBlt_1956.0,0.000162091
cat__GarageAge_9.0,0.000159337
cat__GarageAge_7.0,0.000158974
cat__GarageAge_13.0,0.00015654
cat__Neighborhood_NridgHt,0.000155176
cat__GarageAge_45.0,0.000154205
cat__GarageYrBlt_1996.0,0.000152943
